iter	Accuracy	Logloss
151	0.8260469397	0.3667628806
152	0.8266605308	0.3664181238
153	0.8272741218	0.3658803256
154	0.827120724	0.3656499875
155	0.8269673263	0.3651478226
156	0.8278877128	0.364812703
157	0.8285013039	0.3642332038
158	0.8289614972	0.3638198245
159	0.8286547016	0.3635048658
160	0.8295750882	0.3632720422
161	0.8295750882	0.3629342429
162	0.8295750882	0.362201511
163	0.829728486	0.3620041863
164	0.830342077	0.361697624
165	0.8306488725	0.3612344849
166	0.8312624636	0.3607849495
167	0.8311090658	0.3605756716
168	0.8311090658	0.3603816336
169	0.8314158613	0.3598312476
170	0.8321828501	0.3595439037
171	0.8331032367	0.3588986684
172	0.8326430434	0.35861864
173	0.8334100322	0.3583853005
174	0.8340236233	0.3579135255
175	0.8338702255	0.3574190015
176	0.8338702255	0.3573553757
177	0.8337168277	0.3571367452
178	0.8340236233	0.3568625715
179	0.83356343	0.3566045229
180	0.8343304188	0.3561509323
181	0.8350974076	0.3559441643
182	0.8347906121	0.3556269751
183	0.8346372143	0.355444169
184	0.8344838165	0.3549977535
185	0.8346372143	0.3547184055
186	0.8354042031	0.3543162777
187	0.8360177941	0.3537383245
188	0.8361711919	0.3535031099
189	0.8369381807	0.3530640583
190	0.8367847829	0.3527199952
191	0.837398374	0.3525339177
192	0.8372449762	0.3523201863
193	0.8378585673	0.3518836594
194	0.8378585673	0.3515899845
195	0.8378585673	0.3512722839
196	0.8378585673	0.3506853819
197	0.8386255561	0.3503024959
198	0.8377051695	0.3497156184
199	0.8381653628	0.3492153156
200	0.8377051695	0.3489751536
201	0.8377051695	0.3487245893
202	0.8381653628	0.348305286
203	0.8392391471	0.3479581304
204	0.8396993404	0.3477447476
205	0.8398527382	0.3473599061
206	0.8403129314	0.3467474006
207	0.8400061359	0.3463761351
208	0.840619727	0.3457262381
209	0.840619727	0.3454915108
210	0.8407731247	0.3452721283
211	0.8407731247	0.3449893161
212	0.8415401135	0.3445852323
213	0.8415401135	0.3442398586
214	0.8423071023	0.3436583277
215	0.8421537046	0.3432806717
216	0.8424605001	0.3430468232
217	0.8426138978	0.3427379004
218	0.8426138978	0.3424163366
219	0.8432274889	0.3416452532
220	0.8433808866	0.3411692338
221	0.8433808866	0.3408297558
222	0.8441478754	0.3404803856
223	0.8443012732	0.3402349858
224	0.8443012732	0.3397699988
225	0.8441478754	0.3395364341
226	0.844454671	0.339251276
227	0.8446080687	0.3389473044
228	0.844454671	0.3385998119
229	0.8438410799	0.3381778381
230	0.8439944777	0.3379241722
231	0.8453750575	0.3374692369
232	0.8452216598	0.3372327562
233	0.8446080687	0.3368165617
234	0.8447614665	0.3364934386
235	0.845681853	0.3362032266
236	0.8458352508	0.3360222659
237	0.8458352508	0.3356134681
238	0.8461420463	0.3352412746
239	0.8462954441	0.3348545941
240	0.8466022396	0.3344706183
241	0.8466022396	0.3341283991
242	0.8469090351	0.3336808352
243	0.8470624329	0.3334374608
244	0.8475226262	0.3330079649
245	0.8476760239	0.3328040612
246	0.8475226262	0.332594688
247	0.8475226262	0.3324260236
248	0.8481362172	0.3319274452
249	0.8484430127	0.3315764912
